mathematicians,occupation,country of citizenship,place of birth,date of death,educated at,employer,place of death,member of,employer,doctoral advisor,"languages spoken, written or signed",academic degree,doctoral student,manner of death,position held,field of work,award received,Erdős number,instance of,sex or gender,approx. date of birth,day of birth,month of birth,year of birth,approx. date of death,day of death,month of death,year of death,
Carl Gustav Jacob Jacobi,"['mathematician', 'university teacher']",['Prussia'],Potsdam,18 February 1851,['Humboldt University of Berlin'],['Humboldt University of Berlin'],['Berlin'],"['Royal Society', 'Prussian Academy of Sciences', 'Royal Swedish Academy of Sciences', 'Russian Academy of Sciences', 'French Academy of Sciences', 'American Academy of Arts and Sciences', 'Russian Academy of Sciences']",['Humboldt University of Berlin'],['Enno Dirksen'],['German'],NULL,['Otto Hesse'],['natural causes'],NULL,"['differential geometry', 'number theory']","['Order of Merit for Arts and Science', 'Pour le Mérite', 'Grand prix des sciences mathématiques', '1830']",NULL,['human'],['male'],FALSE,10,December,1804,FALSE,18,February,1851,
Eduardo Héctor Zarantonello,['mathematician'],['Argentina'],Buenos Aires,1/13/2010,['National University of La Plata'],NULL,['Mendoza'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,4,June,1918,FALSE,13,January,2010,
Charles L. Bouton,"['mathematician', 'university teacher']",['United States of America'],St. Louis,20-Feb-22,['Washington University in St. Louis'],"['Harvard University', 'Washington University in St. Louis']",NULL,['American Academy of Arts and Sciences'],"['Harvard University', 'Washington University in St. Louis']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,25,April,1869,FALSE,20,February,1922,
Aleksandr Danilovich Aleksandrov,"['mathematician', 'physicist', 'university teacher']","['Soviet Union', 'Russia']",Ryazan Oblast,27-Jul-99,"['Saint Petersburg State University', 'Q4483622']","['Vavilov State Optical Institute', 'Saint Petersburg State University', 'Steklov Institute of Mathematics', 'Institute of Mathematics of the Siberian Branch of the Russian Academy of Sciences']",['Moscow'],"['Russian Academy of Sciences', 'Academy of Sciences of the USSR', 'Lincean Academy']","['Vavilov State Optical Institute', 'Saint Petersburg State University', 'Steklov Institute of Mathematics', 'Institute of Mathematics of the Siberian Branch of the Russian Academy of Sciences']","['Boris Delaunay', 'Vladimir Fock']",['Russian'],['Doctor of Sciences in Physics and Mathematics'],['Grigori Perelman'],NULL,NULL,"['differential geometry', 'dialectical materialism', 'Philosophy of physics', 'Riemannian geometry', 'Q4501728', 'discrete geometry', 'hyperbolic geometry']","['State Stalin Prize', '1942",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Abu Mansur al-Baghdadi,"['mathematician', 'theologian', 'faqih', 'literary']",['Abbasid Caliphate'],Baghdad,1037,NULL,NULL,['Isfara'],NULL,NULL,NULL,['Arabic'],NULL,NULL,NULL,NULL,"[""Ash'ari"", 'Shafi`i', 'mathematics']",NULL,NULL,['human'],['male'],FALSE,NULL,NULL,980,FALSE,NULL,NULL,1037,
Alfred William Flux,['statistician'],NULL,Portsmouth,16-Jul-42,"[""St John's College""]",NULL,['Faxe Ladeplads'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Companion of the Order of the Bath'],NULL,['human'],['male'],FALSE,8,April,1867,FALSE,16,July,1942,
Hellmuth Stachel,"['mathematician', 'university teacher']",['Austria'],"Graz, Austria",NULL,['University of Graz'],['University of Graz'],NULL,['Austrian Academy of Sciences'],['University of Graz'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,6,October,1942,FALSE,NULL,NULL,NULL,
Antonio Collalto (mathematician),['mathematician'],NULL,Venice,16 July 1820,NULL,NULL,['Padua'],NULL,NULL,NULL,['Italian'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,22,April,1765,FALSE,16,July,1820,
David Berlinski,"['philosopher', 'mathematician', 'university teacher']",['United States of America'],New York City,NULL,['Princeton University'],NULL,NULL,NULL,NULL,NULL,['English'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1942,FALSE,NULL,NULL,NULL,
Charles Cobb (economist),"['mathematician', 'economist', 'university teacher']",['United States of America'],Plymouth,1949,['University of Michigan'],NULL,['Cambridge'],NULL,NULL,['Walter Burton Ford'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1875,FALSE,NULL,NULL,1949,
Shmuel Agmon,"['mathematician', 'university teacher']",['Israel'],Tel Aviv,NULL,NULL,['Hebrew University of Jerusalem'],NULL,"['American Mathematical Society', 'Israel Academy of Sciences and Humanities']",['Hebrew University of Jerusalem'],['Szolem Mandelbrojt'],NULL,NULL,NULL,NULL,NULL,"['mathematical analysis', 'partial differential equation']","['Israel Prize', '1991']",NULL,['human'],['male'],FALSE,2,February,1922,FALSE,NULL,NULL,NULL,
Mihail Zervos,"['mathematician', 'engineer']",NULL,NULL,NULL,['National Technical University of Athens'],"['London School of Economics', ""King's College London""]",NULL,NULL,"['London School of Economics', ""King's College London""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
R. W. H. T. Hudson,['mathematician'],['United Kingdom'],Cambridge,20-Sep-04,"['University of London', ""St John's College""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['algebraic geometry'],NULL,NULL,['human'],['male'],FALSE,16,July,1875,FALSE,20,September,1904,
Luigi Cremona,"['mathematician', 'university teacher']",['Kingdom of Italy'],Pavia,10-Jun-03,['University of Pavia'],['Sapienza University of Rome'],['Rome'],"['Royal Society', 'Göttingen Academy of Sciences', 'Royal Swedish Academy of Sciences', 'American Academy of Arts and Sciences', 'Prussian Academy of Sciences', 'Lincean Academy', '4 December 1870Gregorian', '2 January 1874Gregorian', 'corresponding member', 'Lincean Academy', '2 January 1874Gregorian', 'ordinary member']",['Sapienza University of Rome'],['Francesco Brioschi'],['Italian'],NULL,NULL,NULL,"['minister of Public Education of the Kingdom of Italy', '1 June 1898Gregorian', '29 June 1898Gregorian', 'Nicolò Gallo', 'Guido Baccelli']",['algebraic geometry'],"['Order of Merit for Arts and Science', 'Pour le Mérite']",NULL,['human'],['male'],FALSE,7,December,1830,FALSE,10,June,1903,
Anatoly Libgober,['mathematician'],['United States of America'],Moscow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1949,FALSE,NULL,NULL,NULL,
John Blagrave,['mathematician'],NULL,NULL,9 August 1611,"[""St John's College""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,1,January,1561,FALSE,9,August,1611,
Ben Green (mathematician),"['mathematician', 'university teacher']",['United Kingdom'],Bristol,NULL,['Trinity College'],['University of Bristol'],NULL,"['American Mathematical Society', '2012', 'Royal Society', '2010']",['University of Bristol'],['Timothy Gowers'],NULL,NULL,NULL,NULL,NULL,"['combinatorics', 'number theory']","['Ostrowski Prize', '2005', 'SASTRA Ramanujan Prize', '2007', 'Salem Prize', '2005', 'Clay Research Award', '2004', 'Whitehead Prize', '2005', 'EMS Prize', '2008', 'Sylvester Medal', '2014', 'Gauss Lectureship', '2013']",['2±0'],['human'],['male'],FALSE,27,February,1977,FALSE,NULL,NULL,NULL,
Adrian Bowyer,"['engineer', 'mathematician', 'university teacher']",['United Kingdom'],London,NULL,['Imperial College London'],['University of Bath'],NULL,NULL,['University of Bath'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1952,FALSE,NULL,NULL,NULL,
William of Heytesbury,"['mathematician', 'philosopher', 'university teacher']",['United Kingdom'],Wiltshire,1372,NULL,NULL,['Oxford'],NULL,NULL,NULL,['Latin'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1313,FALSE,NULL,NULL,1372,
John Stillwell,"['mathematician', 'historian of mathematics', 'university teacher']",['Australia'],Melbourne,NULL,['Massachusetts Institute of Technology'],NULL,NULL,['American Mathematical Society'],NULL,"['Hartley Rogers, Jr.']",['English'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,12,August,1942,FALSE,NULL,NULL,NULL,
Helmut Hasse,"['mathematician', 'university teacher']",['Germany'],Kassel,26-Dec-79,"['University of Marburg', 'University of Göttingen', 'University of Kiel']","['University of Hamburg', '1950', '1966', 'University of Kiel', '1922', '1925', 'University of Göttingen', '1934', 'September 1945', 'University of Marburg', '1930', '1934', 'University of Halle-Wittenberg', '1925', '1930', 'Humboldt University of Berlin', '1949', '1950']",['Ahrensburg'],"['German Academy of Sciences at Berlin', 'German Academy of Sciences Leopoldina']","['University of Hamburg', '1950', '1966', 'University of Kiel', '1922', '1925', 'University of Göttingen', '1934', 'September 1945', 'University of Marburg', '1930', '1934', 'University of Halle-Wittenberg', '1925', '1930', 'Humboldt University of Berlin', '1949', '1950']",['Kurt Hensel'],['German'],NULL,NULL,NULL,NULL,['number theory'],"['National Prize of East Germany', 'Cothenius Medal', '1969']",['2±0'],['human'],['male'],FALSE,25,August,1898,FALSE,26,December,NULL,
Klara Dan von Neumann,"['computer scientist', 'engineer']",['Hungary'],Budapest,10-Nov-63,NULL,NULL,['San Diego'],NULL,NULL,NULL,NULL,NULL,NULL,['suicide'],NULL,NULL,NULL,NULL,['human'],['female'],FALSE,18,August,1911,FALSE,10,November,1963,
Valerie Isham,"['mathematician', 'statistician']",['United Kingdom'],NULL,NULL,NULL,['University College London'],NULL,NULL,['University College London'],['David Cox'],NULL,NULL,NULL,NULL,NULL,['probability theory'],NULL,NULL,['human'],['female'],FALSE,NULL,NULL,1947,FALSE,NULL,NULL,NULL,
Stefan Ralescu,"['mathematician', 'statistician']",['United States of America'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['2±0'],['human'],['male'],FALSE,NULL,NULL,1952,FALSE,NULL,NULL,NULL,
Jay Kappraff,['mathematician'],['United States of America'],NULL,NULL,"['New York University', 'University of Iowa', 'New York University Tandon School of Engineering']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Irvin Cohen,"['mathematician', 'university teacher']",['United States of America'],NULL,14-Feb-55,['Johns Hopkins University'],['Massachusetts Institute of Technology'],NULL,NULL,['Massachusetts Institute of Technology'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1917,FALSE,14,February,1955,
Asef Hadjiyev,[''],NULL,NULL,NULL,NULL,NULL,NULL,['Azerbaijan National Academy of Sciences'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,29,May,1951,FALSE,NULL,NULL,NULL,
Nikolai Sergeevich Bakhvalov,['mathematician'],"['Soviet Union', 'Russia']",Moscow,29-Aug-05,['Moscow State University'],['Moscow State University'],['Moscow'],"['Russian Academy of Sciences', 'Academy of Sciences of the USSR']",['Moscow State University'],['Andrey Kolmogorov'],NULL,['Doctor of Sciences in Physics and Mathematics'],NULL,NULL,NULL,"['applied mathematics', 'numerical analysis', 'Function theory']","['USSR State Prize', 'Order of Honour', 'Order of the Badge of Honour', 'Honoured Science Worker of the Russian Federation']",NULL,['human'],['male'],FALSE,29,May,1934,FALSE,29,August,2005,
Earl A. Coddington,[''],NULL,NULL,11/11/1991,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],NULL,FALSE,NULL,NULL,NULL,FALSE,11,November,1991,
James Bates Thomson,['mathematician'],['United States of America'],Windsor County,22 June 1883,['Yale University'],NULL,['Brooklyn'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,21,May,1808,FALSE,22,June,1883,
W. Frahm,['mathematician'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Solomon W. Golomb,"['mathematician', 'computer scientist', 'university teacher']",['United States of America'],Baltimore,1-May-16,"['Harvard University', 'Johns Hopkins University']",['University of Southern California'],['Los Angeles'],"['American Mathematical Society', 'National Academy of Sciences', 'National Academy of Engineering', 'Society for Industrial and Applied Mathematics', 'American Academy of Arts and Sciences']",['University of Southern California'],['David Widder'],NULL,NULL,NULL,NULL,NULL,"['combinatorics', 'number theory']","['William Procter Prize for Scientific Achievement', '2012', 'National Medal of Science', '2011', 'Claude E. Shannon Award', 'IEEE Richard W. Hamming Medal', '2000', 'Fulbright Scholarship', 'Benjamin Franklin Medal', '2016']",['2±0'],['human'],['male'],FALSE,30,May,1932,FALSE,1,May,2016,
Hilary Putnam,"['mathematician', 'philosopher', 'university teacher', 'non-fiction writer', 'computer scientist']",['United States of America'],Chicago,13-Mar-16,"['Harvard University', 'University of Pennsylvania', 'Central High School', 'University of California, Los Angeles', 'philosophy', '1951', 'Doctor of Philosophy']","['Princeton University', 'Harvard University', 'Massachusetts Institute of Technology', 'Northwestern University']",['Arlington'],"['European Academy of Sciences and Arts', 'American Academy of Arts and Sciences', 'American Philosophical Society', 'British Academy']","['Princeton University', 'Harvard University', 'Massachusetts Institute of Technology', 'Northwestern University']",NULL,['English'],NULL,NULL,['natural causes'],NULL,NULL,NULL,['3±0'],['human'],['male'],FALSE,31,July,1926,FALSE,13,March,2016,
Mikhail Menshikov,['mathematician'],NULL,Moscow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['probability theory'],NULL,NULL,['human'],['male'],FALSE,17,January,1948,FALSE,NULL,NULL,NULL,
Alexis Fontaine des Bertins,['mathematician'],['France'],Claveyson,21 August 1771,NULL,NULL,['Cuiseaux'],['French Academy of Sciences'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,13,August,1704,FALSE,21,August,1771,
Goro Nishida,"['mathematician', 'university teacher']",['Japan'],Ōsaka Prefecture,2-Jun-14,"['Kyoto University', 'University of Manchester']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,18,September,1943,FALSE,2,June,2014,
Moshe Shaked,['mathematician'],NULL,NULL,10/28/2014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,21,February,1945,FALSE,28,October,2014,
Augustus William Smith,['mathematician'],['United States of America'],Newport,26 March 1866,['Hamilton College'],['Wesleyan University'],['Annapolis'],NULL,['Wesleyan University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,12,May,1802,FALSE,26,March,1866,
Jean Gaston Darboux,"['mathematician', 'writer', 'university teacher']",['France'],Nîmes,23-Feb-17,['École Normale Supérieure'],NULL,['Paris'],"['Royal Society', 'Société Philomathique de Paris', 'German Academy of Sciences Leopoldina', 'French Academy of Sciences', 'Göttingen Academy of Sciences', 'Russian Academy of Sciences', 'Royal Swedish Academy of Sciences', 'Hungarian Academy of Sciences', 'Romanian Academy', 'Russian Academy of Sciences', 'Lincean Academy', 'Prussian Academy of Sciences']",NULL,['Michel Chasles'],['French'],NULL,['Stanisław Zaremba'],NULL,NULL,['geometry'],"['Poncelet Prize', '1875', 'Grand Officer of the Legion of Honour', '16 February 1910Gregorian', 'Grand prix des sciences mathématiques', '1876']",NULL,['human'],['male'],FALSE,14,August,1842,FALSE,23,February,1917,
José de Jesús Martínez,['politician'],"['Nicaragua', 'Panama']",Managua,27-Jan-91,NULL,NULL,['Panama City'],NULL,NULL,NULL,['Spanish'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,8,June,1929,FALSE,27,January,1991,
Walter Hayman,"['mathematician', 'university teacher']",['United Kingdom'],Cologne,NULL,NULL,NULL,NULL,"['Royal Society', 'Lincean Academy', 'Bavarian Academy of Sciences and Humanities']",NULL,['Mary Cartwright'],NULL,NULL,NULL,NULL,NULL,['mathematical analysis'],"['Fellow of the Royal Society', 'De Morgan Medal', '1995']",['2±0'],['human'],['male'],FALSE,6,January,1926,FALSE,NULL,NULL,NULL,
Claire Mathieu,"['mathematician', 'computer scientist']",['France'],NULL,NULL,NULL,['CNRS'],NULL,NULL,['CNRS'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['female'],FALSE,9,March,1965,FALSE,NULL,NULL,NULL,
Walter Craig (mathematician),['mathematician'],NULL,NULL,NULL,NULL,NULL,NULL,['American Mathematical Society'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Annamalai Ramanathan,"['mathematician', 'university teacher']",['India'],Chennai,12-Mar-93,['Tata Institute of Fundamental Research'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['Shanti Swarup Bhatnagar Prize for Science and Technology', '1991']",NULL,['human'],['male'],FALSE,29,August,1946,FALSE,12,March,1993,
Yehoshua Bar-Hillel,"['mathematician', 'linguist', 'philosopher', 'educator']",['Israel'],Vienna,25-Sep-75,['Hebrew University of Jerusalem'],NULL,['Jerusalem'],['Israel Academy of Sciences and Humanities'],NULL,NULL,"['English', 'Hebrew']",NULL,NULL,NULL,NULL,"['mathematical logic', 'theoretical linguistics']",NULL,['3±0'],['human'],['male'],FALSE,8,September,1915,FALSE,25,September,1975,
Claude Shannon,"['mathematician', 'cryptographer', 'computer scientist', 'engineer', 'sport cyclist', 'university teacher']",['United States of America'],Petoskey,24-Feb-01,"['University of Michigan', 'Massachusetts Institute of Technology']",['Massachusetts Institute of Technology'],['Medford'],"['Royal Society', 'American Academy of Arts and Sciences', 'Royal Netherlands Academy of Arts and Sciences', 'German Academy of Sciences Leopoldina']",['Massachusetts Institute of Technology'],['Frank Lauren Hitchcock'],['English'],NULL,['Ivan Sutherland'],['natural causes'],NULL,['probability theory'],"['Fellow of the Royal Society', 'Stuart Ballantine Medal', '1955', 'John Fritz Medal', 'Harold Pender Award', 'Harvey Prize', '1972', 'IEEE Medal of Honor', '1966', 'National Medal of Science', '1966', 'Josiah Willard Gibbs Lectureship', '1963', 'National Inventors Hall of Fame', 'Kyoto Prize', '1985', 'Claude E. Shannon Award', '1972', 'IEEE Morris N. Liebmann Memorial Award', '1949', 'Kyoto Pr",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Étienne-Louis Malus,"['mathematician', 'physicist', 'military personnel', 'engineer']",['France'],Paris,24 February 1812,['École Polytechnique'],['École Polytechnique'],['Paris'],"['Société Philomathique de Paris', 'French Academy of Sciences']",['École Polytechnique'],NULL,['French'],NULL,NULL,['natural causes'],NULL,['optics'],"['Rumford Medal', '1810', 'Grand prix des sciences mathématiques', '1810']",NULL,['human'],['male'],FALSE,23,July,1775,FALSE,24,February,1812,
